bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,1,465,253
ab,N,Y,N,0,64,0
ac,N,Y,N,0,10,0
ad,N,Y,N,0,29,0
ae,N,N,N,0,0,0
af,N,Y,N,0,7,0
ag,N,Y,N,0,11,0
ah,N,Y,N,0,19,0
ai,N,N,N,0,0,0
aj,N,Y,N,0,10,0
ak,N,Y,N,0,60,1
al,Y,Y,N,2,22,1
am,N,Y,Y,1,95,31
an,Y,Y,Y,2,273,14
ao,N,N,N,0,0,0
ap,N,Y,N,0,8,0
ar,Y,Y,Y,5,365,28
as,N,Y,N,0,55,1
at,N,Y,N,0,16,0
au,N,N,N,0,0,0
av,N,N,N,0,0,0
aw,N,Y,N,1,28,0
ay,Y,Y,Y,2,7,2
az,N,Y,N,0,87,0
aŋ,N,Y,Y,0,42,14
aɔ,N,N,N,0,0,0
aə,N,N,N,0,0,0
aɛ,N,N,N,0,0,0
aɩ,N,N,N,0,0,0
aʊ,N,Y,Y,0,24,4
ba,Y,Y,Y,53,140,12
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,N,N,N,1,0,1
bf,N,N,N,0,0,0
bg,N,Y,N,0,2,0
bh,N,N,N,0,0,0
bi,Y,Y,N,21,14,0
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,1,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,N,2,3,0
bp,N,N,N,0,0,0
br,Y,N,N,14,1,0
bs,N,Y,N,0,3,0
bt,N,Y,N,0,2,0
bu,Y,Y,N,41,10,1
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,31,35,5
bə,Y,Y,Y,5,56,2
bɛ,Y,N,N,12,1,1
bɩ,Y,Y,N,28,21,1
bʊ,Y,Y,Y,34,23,2
ca,Y,N,N,2,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,Y,Y,N,6,4,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,N,N,0,0,0
ci,Y,Y,Y,31,13,3
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
cɔ,N,N,N,0,0,0
cə,N,N,N,0,0,0
cɛ,Y,Y,Y,16,18,11
cɩ,Y,Y,N,13,9,1
cʊ,N,N,N,0,0,0
da,Y,Y,Y,44,85,20
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,1,0
de,Y,Y,N,3,6,1
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,N,9,5,1
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
