bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,2,100,66
ab,Y,Y,N,11,16,1
ad,Y,Y,N,16,7,0
ae,N,N,N,0,0,0
af,Y,Y,N,9,9,1
ag,Y,Y,N,8,20,0
ai,N,N,N,0,0,0
ak,Y,Y,N,26,23,1
al,Y,Y,N,7,7,1
am,Y,Y,Y,5,11,3
an,Y,Y,Y,10,32,3
ao,N,N,N,0,0,0
ap,Y,Y,N,8,8,0
ar,N,Y,N,0,7,0
as,Y,Y,N,11,16,1
at,Y,Y,Y,10,22,3
au,N,N,N,0,0,0
aw,Y,Y,N,9,6,0
ay,Y,Y,N,7,6,0
aŋ,Y,Y,Y,8,53,27
aɔ,N,N,N,0,0,0
aɛ,N,N,N,0,0,0
ba,Y,Y,Y,6,9,2
bb,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,N,Y,Y,0,9,2
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bi,Y,Y,N,3,7,1
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,N,3,6,0
bp,N,N,N,0,0,0
br,N,Y,N,1,10,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,11,26,7
bw,Y,Y,N,5,5,0
by,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,N,5,5,1
bɛ,N,Y,N,1,3,0
da,Y,Y,Y,8,6,2
db,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,N,Y,Y,1,8,2
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
di,Y,Y,Y,5,9,5
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,N,2,2,0
dp,N,N,N,0,0,0
dr,Y,N,N,2,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,N,3,15,1
dw,Y,Y,N,3,4,0
dy,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɔ,Y,Y,N,4,4,0
dɛ,N,N,N,1,0,0
ea,N,N,N,0,0,0
eb,N,Y,N,0,4,0
ed,N,N,N,0,0,0
ee,Y,Y,Y,2,59,34
ef,N,N,N,0,1,0
eg,N,Y,N,0,10,0
ei,N,N,N,0,0,0
ek,N,Y,N,0,7,0
el,N,Y,N,0,4,0
em,N,N,N,0,0,0
en,N,N,N,0,0,0
eo,N,N,N,0,0,0
ep,N,Y,N,0,8,0
er,N,Y,N,0,21,0
es,N,Y,N,0,11,0
et,N,Y,N,0,6,0
eu,N,N,N,0,0,0
ew,N,Y,N,0,2,0
ey,N,Y,N,0,3,0
eŋ,N,Y,Y,0,27,13
eɔ,N,N,N,0,0,0
eɛ,N,N,N,0,0,0
fa,Y,Y,Y,3,5,2
fb,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,Y,Y,Y,3,5,2
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fi,Y,Y,N,3,3,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,Y,Y,1,3,2
fp,N,N,N,0,0,0
fr,N,N,N,0,1,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,6,11,3
fw,Y,Y,N,2,7,0
fy,N,N,N,0,0,0
fŋ,N,N,N,0,0,0
fɔ,N,Y,Y,1,7,3
fɛ,Y,Y,N,2,2,0
ga,N,N,N,1,0,0
gb,Y,Y,N,2,2,0
gd,N,N,N,0,0,0
ge,N,N,N,0,0,0
