bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,0,231,77
ab,Y,Y,N,36,54,0
ad,Y,Y,N,20,25,0
ae,N,N,N,0,0,0
af,Y,Y,N,17,16,0
ag,Y,Y,N,24,35,0
ah,N,N,N,0,0,0
ai,N,N,N,0,0,0
ak,Y,Y,N,48,28,0
al,Y,Y,N,10,65,0
am,Y,Y,N,13,17,0
an,Y,Y,Y,32,211,83
ao,N,N,N,0,0,0
ap,Y,Y,N,13,7,0
ar,N,Y,N,0,89,0
as,Y,Y,N,26,55,0
at,Y,Y,N,15,33,0
au,N,N,N,0,0,0
aw,Y,Y,N,23,8,0
ay,Y,Y,N,7,9,0
aŋ,Y,Y,Y,6,3,3
aɔ,N,N,N,0,0,0
aɛ,N,N,N,0,0,0
ba,Y,Y,Y,11,69,7
bb,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,N,8,35,0
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,9,110,76
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,18,156,115
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,13,56,14
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,7,21,6
bɛ,N,Y,Y,1,8,4
da,Y,Y,Y,11,42,13
db,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,8,31,13
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,7,22,8
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,3,12,3
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,8,13,3
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɔ,Y,Y,Y,4,11,6
dɛ,Y,Y,Y,7,72,44
ea,N,N,N,0,1,0
eb,N,Y,N,0,16,0
ed,N,Y,N,0,23,0
ee,N,Y,Y,0,26,13
ef,N,N,N,0,1,0
eg,N,Y,N,0,19,0
eh,N,N,N,0,0,0
ei,N,N,N,0,0,0
ek,N,N,N,0,0,0
el,N,Y,N,0,54,1
em,N,Y,Y,0,2,2
en,N,Y,Y,0,158,94
eo,N,N,N,0,0,0
ep,N,N,N,0,0,0
er,N,Y,N,0,46,1
es,N,Y,N,0,19,0
et,N,Y,N,0,7,0
eu,N,N,N,0,0,0
ew,N,Y,N,0,2,0
ey,N,Y,N,0,2,0
eŋ,N,Y,N,0,2,1
eɔ,N,N,N,0,0,0
eɛ,N,N,N,0,0,0
fa,Y,Y,N,8,9,1
fb,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,Y,Y,N,2,6,0
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,N,9,5,1
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,Y,Y,Y,8,26,7
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,10,21,2
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fŋ,N,N,N,0,0,0
fɔ,Y,Y,Y,4,9,3
fɛ,Y,Y,Y,7,16,8
ga,N,Y,Y,0,32,23
gb,Y,Y,N,10,35,0
gd,N,N,N,0,0,0
ge,Y,Y,Y,2,23,8
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,Y,Y,Y,260,26,20
gk,N,N,N,0,0,0
gl,N,N,N,0,0,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,Y,Y,Y,2,5,3
gp,N,N,N,0,0,0
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,Y,Y,Y,3,3,2
gw,N,N,N,0,0,0
gy,Y,Y,N,25,106,0
gŋ,N,N,N,0,0,0
gɔ,N,Y,N,0,3,1
gɛ,Y,Y,Y,148,76,46
ha,N,N,N,1,0,0
