bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,3,252,24
ab,Y,Y,N,72,138,0
ac,Y,Y,N,18,75,0
ad,Y,Y,Y,51,38,2
ae,N,Y,N,0,4,0
af,Y,Y,N,25,46,0
ag,Y,Y,N,35,65,0
ah,N,N,N,0,1,0
ai,N,Y,Y,1,13,6
aj,Y,Y,N,19,35,0
ak,Y,Y,Y,43,111,3
al,Y,Y,Y,52,143,13
am,Y,Y,Y,43,186,6
an,Y,Y,Y,60,778,11
ao,N,N,N,0,0,0
ap,Y,Y,N,18,103,0
ar,Y,Y,Y,4,208,44
as,Y,Y,Y,83,279,4
at,Y,Y,N,37,112,1
au,N,N,N,0,0,0
av,N,N,N,0,0,0
aw,Y,Y,Y,32,110,2
ay,Y,Y,N,28,44,1
az,N,N,N,0,0,0
aŋ,Y,Y,Y,4,307,136
aɔ,N,N,N,0,0,0
aɛ,N,Y,N,0,3,0
ba,Y,Y,Y,24,211,25
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,232,118,2
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,18,653,432
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,Y,Y,N,2,11,0
bm,N,N,N,0,0,0
bn,N,N,N,1,0,0
bo,Y,Y,Y,15,313,6
bp,N,N,N,0,0,0
br,Y,Y,Y,8,41,2
bs,N,N,N,0,0,0
bt,N,Y,N,0,3,0
bu,Y,Y,Y,30,183,34
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,43,133,14
bɛ,Y,Y,Y,11,58,18
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,N,72,314,1
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
cɔ,N,N,N,0,0,0
cɛ,N,N,N,0,0,0
da,Y,Y,Y,36,70,9
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,32,83,21
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,13,77,12
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,5,30,5
dp,N,N,N,0,0,0
dr,Y,Y,N,3,10,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,23,83,7
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dz,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɔ,Y,Y,Y,9,24,4
dɛ,Y,Y,Y,3,17,7
ea,N,Y,Y,1,52,4
eb,Y,Y,N,87,263,0
ec,Y,Y,N,28,68,1
ed,Y,Y,N,65,58,0
ee,Y,Y,Y,3,86,8
ef,Y,Y,N,27,59,1
eg,Y,Y,N,39,66,0
eh,N,N,N,1,0,0
ei,N,N,N,0,1,0
ej,Y,Y,N,27,59,1
ek,Y,Y,Y,75,137,3
el,Y,Y,Y,40,179,16
em,Y,Y,N,30,159,0
en,Y,Y,Y,51,262,5
eo,N,N,N,0,0,0
ep,Y,Y,Y,38,82,3
er,Y,Y,Y,2,80,10
es,Y,Y,Y,61,195,2
et,Y,Y,N,40,115,1
eu,N,N,N,0,0,0
ev,N,N,N,1,0,0
ew,Y,Y,N,38,50,1
ey,Y,Y,N,26,50,0
ez,N,N,N,0,1,0
eŋ,Y,Y,Y,6,202,118
eɔ,N,N,N,0,0,0
eɛ,N,N,N,0,0,0
fa,Y,Y,Y,12,53,14
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,1,0
fe,Y,Y,Y,8,6,2
ff,N,N,N,0,1,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,Y,22,44,7
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,Y,Y,Y,7,16,5
fp,N,N,N,0,0,0
fr,Y,N,N,3,1,0
fs,N,N,N,0,1,1
ft,N,N,N,0,0,0
fu,Y,Y,Y,22,72,18
fv,N,N,N,0,0,0
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fz,N,N,N,0,0,0
fŋ,N,N,N,0,0,0
fɔ,Y,Y,Y,12,67,14
fɛ,Y,Y,Y,18,47,13
ga,Y,Y,Y,9,122,62
gb,Y,Y,Y,78,367,3
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,Y,Y,Y,6,108,59
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,N,Y,Y,0,50,33
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,Y,N,1,2,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,Y,Y,Y,2,10,2
gp,N,N,N,0,0,0
gr,Y,Y,N,2,13,0
gs,N,N,N,0,1,0
gt,N,N,N,0,0,0
gu,Y,Y,Y,2,13,6
gv,N,N,N,0,0,0
gw,N,N,N,0,0,0
gy,N,N,N,0,0,0
gz,N,N,N,0,0,0
gŋ,N,N,N,0,0,0
gɔ,N,Y,N,1,2,0
gɛ,N,N,N,0,1,0
ha,Y,Y,Y,4,95,19
hb,N,N,N,0,0,0
hc,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,Y,Y,Y,4,268,69
hf,N,N,N,0,0,0
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,Y,Y,Y,5,206,53
hj,N,N,N,0,0,0
hk,N,N,N,0,0,0
hl,N,N,N,0,0,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,N,Y,Y,0,22,4
hp,N,N,N,0,0,0
hr,N,Y,N,0,2,0
hs,N,N,N,0,0,0
ht,N,N,N,0,0,0
hu,N,Y,Y,0,137,20
hv,N,N,N,0,0,0
hw,N,N,N,0,0,0
hy,N,N,N,0,0,0
hz,N,N,N,0,0,0
hŋ,N,N,N,0,0,0
hɔ,N,Y,Y,1,24,4
hɛ,Y,Y,Y,4,129,31
ia,N,Y,Y,1,152,25
ib,Y,Y,N,2,145,1
ic,N,Y,N,0,27,0
id,N,Y,N,1,15,1
ie,N,Y,Y,0,17,2
if,N,Y,N,0,22,1
ig,N,Y,N,0,64,0
ih,N,N,N,0,0,0
ii,N,Y,Y,1,43,13
ij,N,Y,N,0,17,0
ik,N,Y,N,1,36,1
il,Y,Y,Y,3,82,5
im,N,Y,Y,0,64,7
in,N,Y,Y,1,124,22
io,N,Y,Y,0,22,9
ip,N,Y,N,0,160,0
ir,Y,Y,Y,2,115,19
is,Y,Y,Y,3,170,5
it,N,Y,N,0,65,1
iu,N,N,N,0,0,0
iv,N,N,N,1,1,0
iw,N,Y,N,0,40,0
iy,N,Y,N,0,22,0
iz,N,N,N,0,1,0
iŋ,Y,Y,Y,2,61,24
iɔ,N,N,N,0,1,0
