bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,0,680,148
ab,Y,Y,N,5,155,0
ad,Y,Y,N,3,32,0
ae,N,N,N,0,0,0
af,N,Y,N,0,18,0
ag,Y,Y,N,3,4,0
ah,N,Y,N,0,29,0
ai,N,Y,Y,1,35,35
ak,N,Y,N,0,50,0
al,Y,Y,N,5,197,0
am,Y,Y,Y,2,186,40
an,Y,Y,Y,22,260,3
ao,N,N,N,0,0,0
ap,N,Y,N,0,25,0
ar,Y,Y,N,10,242,0
as,Y,Y,N,6,157,0
at,N,Y,N,0,32,0
au,N,N,N,0,0,0
av,N,Y,N,0,2,0
aw,N,Y,N,1,3,0
ay,Y,Y,Y,6,28,2
az,Y,Y,N,2,13,0
aŋ,N,Y,N,0,101,1
aɛ,N,N,N,0,0,0
aԑ,N,N,N,0,0,0
aↄ,N,N,N,0,0,0
ba,Y,Y,Y,84,227,119
bb,N,Y,N,0,9,0
bd,N,N,N,0,1,0
be,Y,Y,N,24,55,0
bf,N,N,N,0,0,0
bg,N,Y,N,0,27,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,50,150,28
bk,N,Y,N,0,7,0
bl,N,Y,N,0,10,0
bm,N,Y,N,0,7,0
bn,N,N,N,0,1,0
bo,Y,Y,N,27,10,0
bp,N,N,N,0,0,0
br,N,Y,N,0,29,0
bs,N,Y,N,0,65,0
bt,N,Y,N,0,5,0
bu,Y,Y,Y,178,112,82
bv,N,N,N,0,0,0
bw,N,N,N,0,1,0
by,N,N,N,0,0,0
bz,N,N,N,0,1,0
bŋ,N,N,N,0,0,0
bɛ,Y,Y,Y,14,18,2
bԑ,N,N,N,0,0,0
bↄ,Y,Y,Y,22,16,5
da,Y,Y,Y,100,61,3
db,N,N,N,0,0,0
dd,N,Y,N,0,12,0
de,Y,Y,N,13,5,1
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,36,73,2
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,N,15,5,0
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,37,9,2
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dz,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɛ,N,N,N,0,0,0
dԑ,N,N,N,0,0,0
dↄ,Y,Y,N,21,8,1
ea,N,Y,N,0,146,0
eb,N,Y,N,0,74,0
ed,N,N,N,0,1,0
ee,N,Y,Y,0,401,2
ef,N,N,N,0,1,0
eg,N,N,N,0,1,0
eh,N,N,N,0,0,0
ei,N,N,N,0,0,0
ek,N,Y,N,0,3,0
el,N,Y,N,0,92,0
em,N,Y,Y,0,34,6
en,N,Y,N,0,11,1
eo,N,Y,N,0,33,0
ep,N,N,N,0,0,0
er,N,Y,N,0,66,0
es,N,Y,N,1,115,0
et,N,N,N,0,1,0
eu,N,N,N,0,0,0
ev,N,N,N,0,0,0
ew,N,N,N,0,0,0
ey,N,N,N,0,0,0
ez,N,N,N,0,0,0
eŋ,N,Y,N,0,10,0
eɛ,N,N,N,0,0,0
eԑ,N,N,N,0,0,0
eↄ,N,N,N,0,0,0
